REF_AREA,MEASURE,TIME_PERIOD,OBS_VALUE
BGR,N2O,1992,5237.835999999999
BGR,SF,1992,4.262
BGR,CH4,1993,11869.926
BGR,CO2,1993,41730.663
BGR,HFC,1993,0.021
BGR,N2O,1993,4768.72
BGR,SF,1993,4.509
BGR,CH4,1994,9881.176
BGR,CO2,1994,39624.87
BGR,HFC,1994,0.997
BGR,N2O,1994,4677.488
BGR,SF,1994,4.77
BGR,CH4,1995,9969.611
BGR,CO2,1995,41139.394
BGR,HFC,1995,3.026
BGR,N2O,1995,4523.186000000001
BGR,SF,1995,5.047
BGR,CH4,1996,9978.808
BGR,CO2,1996,42285.21
BGR,HFC,1996,5.314
BGR,N2O,1996,4398.451
BGR,SF,1996,5.34
BGR,CH4,1997,9620.376
BGR,CO2,1997,39404.01
BGR,HFC,1997,8.443
BGR,N2O,1997,4171.25
BGR,SF,1997,5.65
BGR,CH4,1998,9016.699
BGR,CO2,1998,36920.16499999999
BGR,HFC,1998,12.719
BGR,N2O,1998,3429.899
BGR,SF,1998,5.977
BGR,CH4,1999,8588.053
BGR,CO2,1999,30255.397000000004
BGR,HFC,1999,19.672
BGR,N2O,1999,3566.5060000000003
BGR,SF,1999,6.324
BGR,CH4,2000,8646.866
BGR,CO2,2000,27917.757
BGR,HFC,2000,32.692
BGR,N2O,2000,3700.11
BGR,SF,2000,6.691
BGR,CH4,2001,7829.254
BGR,CO2,2001,34241.237
BGR,HFC,2001,46.227
BGR,N2O,2001,3714.736
BGR,SF,2001,7.079
BGR,CH4,2002,8127.575
BGR,CO2,2002,31140.496
BGR,HFC,2002,60.983
BGR,N2O,2002,3613.123
BGR,SF,2002,7.489
BGR,CH4,2003,8835.376
BGR,CO2,2003,35933.420000000006
BGR,HFC,2003,77.972
BGR,N2O,2003,3438.902
BGR,SF,2003,7.924
BGR,CH4,2004,8320.159
BGR,CO2,2004,34237.708
BGR,HFC,2004,104.741
BGR,N2O,2004,3953.36
BGR,SF,2004,8.383
BGR,CH4,2005,7935.598
BGR,CO2,2005,33987.172999999995
BGR,HFC,2005,166.323
BGR,N2O,2005,3806.7
BGR,SF,2005,8.416
BGR,CH4,2006,7771.158
BGR,CO2,2006,38540.481
BGR,HFC,2006,245.385
BGR,N2O,2006,3385.606
BGR,SF,2006,8.744
BGR,CH4,2007,7885.831999999999
BGR,CO2,2007,41286.182
BGR,HFC,2007,282.335
BGR,N2O,2007,3463.576
BGR,SF,2007,9.085
BGR,CH4,2008,7705.608999999999
BGR,CO2,2008,41448.931
BGR,HFC,2008,425.744
BGR,N2O,2008,3640.207
BGR,PFC,2008,0.021
BGR,SF,2008,9.439
BGR,CH4,2009,7447.608
BGR,CO2,2009,33099.042
BGR,HFC,2009,418.134
BGR,N2O,2009,3294.517
BGR,PFC,2009,0.056
BGR,SF,2009,9.807
BGR,CH4,2010,7603.168
BGR,CO2,2010,35723.824
BGR,HFC,2010,414.999
BGR,N2O,2010,3744.897
BGR,PFC,2010,0.064
BGR,SF,2010,19.336
BGR,CH4,2011,7895.009999999999
BGR,CO2,2011,44381.333
BGR,HFC,2011,473.862
BGR,N2O,2011,3441.541
BGR,PFC,2011,0.056
BGR,SF,2011,17.488
BGR,CH4,2012,7595.508000000001
BGR,CO2,2012,40004.276000000005
BGR,HFC,2012,502.03
BGR,N2O,2012,3536.182
BGR,PFC,2012,0.047
BGR,SF,2012,16.59
BGR,CH4,2013,7475.037
BGR,CO2,2013,35440.933000000005
BGR,HFC,2013,727.625
BGR,N2O,2013,3902.555
BGR,PFC,2013,0.039
BGR,SF,2013,21.046
BGR,CH4,2014,7407.412
BGR,CO2,2014,36749.378
BGR,HFC,2014,889.006
BGR,N2O,2014,4301.807
BGR,PFC,2014,0.033
BGR,SF,2014,17.396
BGR,CH4,2015,7454.732
BGR,CO2,2015,40158.691
BGR,HFC,2015,693.573
BGR,N2O,2015,4406.656999999999
BGR,PFC,2015,0.028
BGR,SF,2015,18.62
BGR,CH4,2016,7276.522
BGR,CO2,2016,35574.861000000004
BGR,HFC,2016,714.252
BGR,N2O,2016,4700.8460000000005
